gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 9 of the OpenGL 4.4 (core) Specification (Framebuffers and Framebuffer Objects)
gl ext spec\ARB\ARB_texture_barrier.txt                            : Additions to Chapter 9 of the OpenGL 4.4 Specification (Per-Fragment Operations and the Frame Buffer)
gl ext spec\ARB\ARB_sample_locations.txt                           : Additions to Chapter 9 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_framebuffer_multisample_advanced.txt           : Additions to Chapter 9 of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\ARB\ARB_shader_viewport_layer_array.txt                : Additions to Chapter 9 of the OpenGL 4.5 (Core) Specification (Framebuffers and Framebuffer Objects)
gl ext spec\OES\OES_texture_storage_multisample_2d_array.txt       : Additions to Chapter 9 of the OpenGL ES 3.1 Specification (Framebuffers and Framebuffer Objects)
gl ext spec\QCOM\QCOM_framebuffer_foveated.txt                     : Additions to Chapter 9 of the OpenGL ES 3.2 Specification
gl ext spec\NV\NV_texture_barrier.txt                              : Additions to Chapter 9 of the OpenGL ES 3.2 Specification (Framebuffers and Framebuffer Objects)
gl ext spec\ARB\ARB_shading_language_420pack.txt                   : Additions to Chapter 9 of the OpenGL Shading Language
gl ext spec\AMD\AMD_sparse_texture.txt                             : Additions to Chapter 9 of the OpenGL Shading Language (GLSL) Specification, version 4.20, (Shading Language Grammar)
gl ext spec\AMD\AMD_shader_explicit_vertex_parameter.txt           : Additions to Chapter 9 of the OpenGL Shading Language (GLSL) Specification, version 4.30, (Shading Language Grammar)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 9 of the OpenGL Shading Language 1.20 Specification
gl ext spec\QCOM\QCOM_texture_foveated.txt                         : Additions to Chapter 9.4 (Framebuffer Completeness) of the OpenGL ES 3.2 Specification
gl ext spec\EXT\EXT_draw_transform_feedback.txt                    : Additions to Chapters 13-21 of the OpenGL 3.2 Specification
gl ext spec\INTEL\INTEL_texture_scissor.txt                        : Additions to GLX Specification
gl ext spec\AMD\AMD_name_gen_delete.txt                            : Additions to new section for Performance Monitoring (added by
gl ext spec\ARB\ARB_texture_storage.txt                            : Additions to OES_compressed_ETC1_RGB8_texture
gl ext spec\NV\NV_shader_atomic_int64.txt                          : Additions to OpenGL 4.4 Specification
gl ext spec\QCOM\QCOM_extended_get.txt                             : Additions to OpenGL ES 1.1 Specification
gl ext spec\QCOM\QCOM_extended_get2.txt                            : Additions to OpenGL ES 2.0 Specification
gl ext spec\EXT\EXT_shadow_samplers.txt                            : Additions to OpenGL ES Shading Language 1.00 Specification
gl ext spec\APPLE\APPLE_clip_distance.txt                          : Additions to OpenGL ES Shading Language 1.00 Specification [ES2] or Additions to OpenGL ES Shading Language 3.00 Specification [ES3]
gl ext spec\NV\NV_shadow_samplers_array.txt                        : Additions to OpenGL ES Shading Language 1.00.14 Specification
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Additions to OpenGL ES Shading Language 3.20 Specification
gl ext spec\IMG\IMG_user_clip_plane.txt                            : Additions to OpenGLES 1.0 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 16.1.2 of the OpenGL ES 3.1 Specification
gl ext spec\ARB\ARB_robustness_application_isolation.txt           : Additions to section 2.6 "Graphics Reset Recovery" defined in GL_ARB_robustness
gl ext spec\EXT\GLX_EXT_buffer_age.txt                             : Additions to Section 3.3.6 of the GLX 1.4 Specification (Querying Attributes)
gl ext spec\OVR\OVR_multiview_multisampled_render_to_texture.txt   : Additions to Section 4.4.2 of the OpenGL ES 3.0 Specification
gl ext spec\EXT\EXT_multisampled_render_to_texture.txt             : Additions to Section 4.4.3 of the OpenGL ES 2.0 Specification
gl ext spec\EXT\EXT_multisampled_render_to_texture.txt             : Additions to section 4.4.5 of the OpenGL ES 2.0 Specification
gl ext spec\QCOM\QCOM_binning_control.txt                          : Additions to Section 5.1 (Hints) of the OpenGL ES 2.0 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 8.16 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 8.19.1 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 8.4.2 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 8.5 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_texture_stencil8.txt                           : Additions to Section 8.6 of the OpenGL ES 3.1 Specification
gl ext spec\APPLE\APPLE_row_bytes.txt                              : Additions to table 3.1 of the 2.1 specification (PixelStore parameters (write)):
gl ext spec\APPLE\APPLE_row_bytes.txt                              : Additions to table 4.5 of the 2.1 specification (PixelStore parameters (read)):
gl ext spec\NV\NV_float_buffer.txt                                 : Additions to the AGL Specification
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Additions to the AGL/EGL/GLX/WGL Specifications
gl ext spec\ARB\ARB_cl_event.txt                                   : Additions to the AGL/EGL/GLX/WGL Specifications:
gl ext spec\OES\OES_compressed_ETC1_RGB8_texture.txt               : Additions to the AGL/GLX/WGL Specification
gl ext spec\ARB\ARB_robustness_application_isolation.txt           : Additions to the AGL/GLX/WGL specifications
gl ext spec\3DFX\3DFX_texture_compression_FXT1.txt                 : Additions to the AGL/GLX/WGL Specifications
gl ext spec\ARB\ARB_framebuffer_object.txt                         : Additions to the AGL/GLX/WGL Specifications and dependencies on WGL_ARB_make_current_read, GLX_SGI_make_current_read, and GLX 1.3
gl ext spec\OES\OES_draw_texture.txt                               : Additions to the AGL/GLX/WGL Specifications:
gl ext spec\EXT\EXT_sparse_texture.txt                             : Additions to the AGL/GLX/WGL/EGL Specifications
gl ext spec\EXT\EXT_separate_shader_objects.gl.txt                 : Additions to the ARB_geometry_shader4 specification
gl ext spec\EXT\EXT_direct_state_access.txt                        : Additions to the ARB_vertex_program specification
gl ext spec\APPLE\APPLE_vertex_array_range.txt                     : Additions to the CGL interface:
gl ext spec\NV\EGL_NV_coverage_sample.txt                          : Additions to the EGL 1.2 Specification
gl ext spec\KHR\KHR_context_flush_control.txt                      : Additions to the EGL 1.5 Specification
gl ext spec\EXT\EXT_texture_compression_dxt1.txt                   : Additions to the EGL Specifications
gl ext spec\EXT\EXT_base_instance.txt                              : Additions to the EGL/AGL/GLX/WGL Specifications
gl ext spec\QCOM\QCOM_texture_foveated.txt                         : Additions to the end of section 8.19 of the OpenGL ES 3.2 Specification
gl ext spec\OES\OES_EGL_image.txt                                  : Additions to the EXT_framebuffer_object extension
gl ext spec\EXT\EXT_direct_state_access.txt                        : Additions to the EXT_gpu_program_parameters specification
gl ext spec\ARB\ARB_texture_non_power_of_two.txt                   : Additions to the EXT_texture_compression_s3tc and NV_texture_compression_vtc Specification
gl ext spec\SUN\GLX_SUN_get_transparent_index.txt                  : Additions to the GL 1.2.1 Specification
gl ext spec\EXT\GLU_EXT_nurbs_tessellator.txt                      : Additions to the GLU Specification version 1.2, section 7.1
gl ext spec\EXT\GLU_EXT_nurbs_tessellator.txt                      : Additions to the GLU Specification version 1.2, section 7.2
gl ext spec\EXT\GLU_EXT_nurbs_tessellator.txt                      : Additions to the GLU Specification version 1.2, section 7.6
gl ext spec\EXT\GLU_EXT_object_space_tess.txt                      : Additions to the GLU Specification Version 1.2, Section 7.6
gl ext spec\ARB\ARB_point_parameters.txt                           : Additions to the GLX / WGL / AGL Specifications
gl ext spec\3DFX\3DFX_multisample.txt                              : Additions to the GLX 1.3 Specification
gl ext spec\EXT\GLX_EXT_context_priority.txt                       : Additions to the GLX 1.4 specification
gl ext spec\AMD\GLX_AMD_gpu_association.txt                        : Additions to the GLX 1.4 Specification
gl ext spec\ARB\ARB_create_context_no_error.txt                    : Additions to the GLX 1.4 Specification and GLX_ARB_create_context
gl ext spec\ARB\GLX_ARB_robustness_application_isolation.txt       : Additions to the GLX specification
gl ext spec\3DFX\3DFX_tbuffer.txt                                  : Additions to the GLX Specification
gl ext spec\SGIX\SGIX_subdiv_patch.txt                             : Additions to the GLX Specification:
gl ext spec\ARB\ARB_matrix_palette.txt                             : Additions to the GLX Stream Protocol:
gl ext spec\EXT\EXT_stencil_two_side.txt                           : Additions to the GLX, WGL, and AGL Specification
gl ext spec\EXT\GLX_EXT_context_priority.txt                       : Additions to the GLX_ARB_create_context specification
gl ext spec\EXT\GLX_EXT_no_config_context.txt                      : Additions to the GLX_ARB_create_context Specification
gl ext spec\EXT\EXT_direct_state_access.txt                        : Additions to the NV_gpu_program4 specification
gl ext spec\NV\NV_shader_buffer_load.txt                           : Additions to the NV_gpu_program4 specification:
gl ext spec\ARB\WGL_ARB_robustness_application_isolation.txt       : Additions to the OpenGL / AGL / GLX Protocol Specificaitons
gl ext spec\ARB\GLX_ARB_robustness_application_isolation.txt       : Additions to the OpenGL / AGL / WGL Specifications
gl ext spec\ARB\WGL_ARB_create_context.txt                         : Additions to the OpenGL / GLX / GLX Protocol Specificaitons
gl ext spec\AMD\AMD_debug_output.txt                               : Additions to the OpenGL / GLX / GLX Protocol Specifications
gl ext spec\ARB\GLX_ARB_create_context.txt                         : Additions to the OpenGL / WGL Specifications
gl ext spec\OML\GLX_OML_swap_method.txt                            : Additions to the OpenGL 1.2.1 Specification
gl ext spec\MESA\GLX_MESA_agp_offset.txt                           : Additions to the OpenGL 1.4 Specification
gl ext spec\ARB\ARB_stencil_texturing.txt                          : Additions to the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_shader_texture_image_samples.txt               : Additions to the OpenGL 4.4 (Core Profile) Specification
gl ext spec\NV\NV_shader_atomic_float64.txt                        : Additions to the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\NV\NV_gpu_multicast.txt                                : Additions to the OpenGL 4.5 Specification (Compatibility Profile)
gl ext spec\INTEL\INTEL_blackhole_render.txt                       : Additions to the OpenGL 4.6 (Core Profile) Specification
gl ext spec\EXT\EXT_unpack_subimage.txt                            : Additions to the OpenGL ES 2.0 Specification
gl ext spec\EXT\EXT_geometry_shader.txt                            : Additions to the OpenGL ES 3.1 Specification
gl ext spec\EXT\EXT_shader_non_constant_global_initializers.txt    : Additions to the OpenGL ES 3.2 Specification
gl ext spec\EXT\EXT_clip_control.txt                               : Additions to the OpenGL ES 3.2 Specification, Chapter 12 (Fixed-Function Vertex Post-Processing):
gl ext spec\EXT\EXT_clip_control.txt                               : Additions to the OpenGL ES 3.2 Specification, Chapter 13 (Fixed-Function Primitive Assembly and Rasterization):
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Additions to the OpenGL ES Shading Language 1.00 Specification
